version,cohort,model,threshold,n_images,n_failures,prevalence,auroc,ci_low,ci_high
16,properties,rtdetr-v2-m-coco-torch,0.5,500,236,0.472,0.5733018746789933,0.5284161631584512,0.617552645095018
16,properties,rtdetr-v2-s-coco-torch,0.5,500,274,0.548,0.550909178993605,0.5057908373380082,0.5964885790000977
16,properties,rtdetr-x-coco-torch,0.5,500,282,0.564,0.5400156158500878,0.4951311684114048,0.5867128870467727
16,properties,yolo11l-coco-torch,0.5,500,259,0.518,0.5660055431839665,0.5179222303030303,0.6108997677603935
16,properties,yolo11m-coco-torch,0.5,500,274,0.548,0.5557861249273303,0.511691013381213,0.6003487659141045
16,properties,yolo11n-coco-torch,0.5,500,387,0.774,0.6369623379296151,0.5796696982627855,0.696750831258178
16,properties,yolo11s-coco-torch,0.5,500,318,0.636,0.5861496993572465,0.5375322129114968,0.6341633378069038
16,properties,yolo11x-coco-torch,0.5,500,234,0.468,0.568070818070818,0.5228586912886392,0.6121867105841018
16,properties,yolov10l-coco-torch,0.5,500,263,0.526,0.5766953843191991,0.5310724606599138,0.6200037272193409
16,properties,yolov10m-coco-torch,0.5,500,287,0.574,0.5835173643486938,0.5401813790019236,0.6327012229898922
16,properties,yolov10n-coco-torch,0.5,500,417,0.834,0.6696281528993673,0.6091923613161566,0.7330173486707249
16,properties,yolov10s-coco-torch,0.5,500,324,0.648,0.6260872615039281,0.5809536343500536,0.6756640871682753
16,properties,yolov10x-coco-torch,0.5,500,251,0.502,0.5853613657818525,0.5392628368072826,0.630690101174536
16,properties,yolov5l-coco-torch,0.5,500,262,0.524,0.5465953556995318,0.5020057527953525,0.5914970493332093
16,properties,yolov5m-coco-torch,0.5,500,289,0.578,0.5638170517719214,0.5166704845322738,0.6094031154499152
16,properties,yolov5n-coco-torch,0.5,500,417,0.834,0.6186183583253879,0.5584466200414554,0.680875709866106
16,properties,yolov5s-coco-torch,0.5,500,324,0.648,0.5738811728395061,0.5229979568991131,0.6257934638704519
16,properties,yolov5x-coco-torch,0.5,500,243,0.486,0.5607436230004323,0.5130353674790445,0.6048483156067431
16,properties,yolov8l-coco-torch,0.5,500,245,0.49,0.5448259303721489,0.49926696989378233,0.5869152611857547
16,properties,yolov8m-coco-torch,0.5,500,272,0.544,0.5770526960784313,0.5339794293905931,0.6255321244689604
16,properties,yolov8n-coco-torch,0.5,500,388,0.776,0.5736722201767305,0.5214839929333004,0.6315288357488287
16,properties,yolov8s-coco-torch,0.5,500,303,0.606,0.5558878222847665,0.5093536039227153,0.605500311564409
16,properties,yolov8x-coco-torch,0.5,500,239,0.478,0.5466823770820308,0.501775460770058,0.5897862725736995
16,properties,yolov9c-coco-torch,0.5,500,267,0.534,0.5608734789667422,0.5155423715200007,0.6060570633843504
16,properties,yolov9e-coco-torch,0.5,500,223,0.446,0.5686487186543847,0.5244882339052677,0.6143142629252355
16,properties,detection-transformer-torch,0.75,500,473,0.946,0.6042988019732206,0.4913563370416745,0.7228548037510064
16,properties,dfine-large-coco-torch,0.75,500,431,0.862,0.6972830290191331,0.6235831534349675,0.7681494000697824
16,properties,dfine-medium-coco-torch,0.75,500,431,0.862,0.7492013853861932,0.68604931147052,0.807015018693281
16,properties,dfine-nano-coco-torch,0.75,500,458,0.916,0.7415263048450821,0.6641677989130435,0.826793076876391
16,properties,dfine-small-coco-torch,0.75,500,457,0.914,0.7027632181568368,0.619694750325631,0.7923278575849296
16,properties,dfine-xlarge-coco-torch,0.75,500,420,0.84,0.7108035714285714,0.6455968389231608,0.7727305561739672
16,properties,faster-rcnn-resnet50-fpn-coco-torch,0.75,500,470,0.94,0.5162765957446809,0.41597740852556514,0.6171501551418439
16,properties,retinanet-resnet50-fpn-coco-torch,0.75,500,464,0.928,0.6789990421455939,0.581086588188732,0.7838988331798682
16,properties,rfdetr-base-coco-torch,0.75,500,448,0.896,0.7468878777472527,0.6795385560977016,0.8172862711375982
16,properties,rfdetr-large-coco-torch,0.75,500,443,0.886,0.7365648885192666,0.6664844679337733,0.8049147465030094
16,properties,rfdetr-medium-coco-torch,0.75,500,441,0.882,0.7338483415965256,0.6673567518371475,0.8008958589330326
16,properties,rfdetr-nano-coco-torch,0.75,500,452,0.904,0.7701419616519174,0.7004689419902759,0.8427128833779531
16,properties,rfdetr-small-coco-torch,0.75,500,443,0.886,0.7452972159518435,0.6791044626769628,0.8118040242750594
16,properties,rtdetr-l-coco-torch,0.75,500,441,0.882,0.683000883969407,0.6040693490133897,0.7608688797706274
16,properties,rtdetr-v2-l-coco-torch,0.75,500,429,0.858,0.7650612298499623,0.7091780421470913,0.8268885810190691
16,properties,rtdetr-v2-m-coco-torch,0.75,500,427,0.854,0.6740880947034102,0.6026479684621562,0.7389025064085267
16,properties,rtdetr-v2-s-coco-torch,0.75,500,447,0.894,0.6729559748427673,0.5931135136415309,0.7543758136065127
16,properties,rtdetr-x-coco-torch,0.75,500,441,0.882,0.6533110419308966,0.5777237914412777,0.7312655052210417
16,properties,yolo11l-coco-torch,0.75,500,435,0.87,0.7152431476569407,0.6449869477157564,0.7861659371034089
16,properties,yolo11m-coco-torch,0.75,500,441,0.882,0.7169184057803912,0.642098842864035,0.792682863166977
16,properties,yolo11n-coco-torch,0.75,500,474,0.948,0.8139402791301525,0.7298314035685433,0.890195662640056
16,properties,yolo11s-coco-torch,0.75,500,452,0.904,0.6684411873156342,0.5886731300058826,0.7575312817058426
16,properties,yolo11x-coco-torch,0.75,500,418,0.836,0.7163321274361069,0.6528125878595065,0.7714218620224252
16,properties,yolov10l-coco-torch,0.75,500,441,0.882,0.7296206618240516,0.657119051812194,0.7994953431667418
16,properties,yolov10m-coco-torch,0.75,500,445,0.89,0.7395505617977528,0.6772333955062069,0.8127804240262323
16,properties,yolov10n-coco-torch,0.75,500,476,0.952,0.7420343137254902,0.631282142466353,0.8433541954817889
16,properties,yolov10s-coco-torch,0.75,500,454,0.908,0.7436314882206474,0.6653613496683644,0.8248275819968744
16,properties,yolov10x-coco-torch,0.75,500,433,0.866,0.7021991658336493,0.6392949911138176,0.7718394496439667
