version,cohort,model,n_images,rmse,baseline_rmse,mse_skill,mae
16,properties,detection-transformer-torch,500,0.21446696046036398,0.22380090045050396,0.08167346282698429,0.17762681114369896
16,properties,dfine-large-coco-torch,500,0.240094787472655,0.26339013958050617,0.16906617524333745,0.19004888971113001
16,properties,dfine-medium-coco-torch,500,0.24376641310399694,0.2680410321127527,0.17292447208022266,0.19213195072443065
16,properties,dfine-nano-coco-torch,500,0.24046818201806786,0.27178514685522126,0.21717659341281315,0.1945459807602711
16,properties,dfine-small-coco-torch,500,0.22986854770432757,0.253275423382598,0.17629253104417975,0.18357703163050523
16,properties,dfine-xlarge-coco-torch,500,0.23996752858129686,0.26484857955607183,0.17906331865973724,0.18836762271122717
16,properties,faster-rcnn-resnet50-fpn-coco-torch,500,0.1914401251836263,0.18987239115953478,-0.016581728704478715,0.15607548517205339
16,properties,retinanet-resnet50-fpn-coco-torch,500,0.21570712778967915,0.2334767331056052,0.14642482367291842,0.17919123870855155
16,properties,rfdetr-base-coco-torch,500,0.2634643011546644,0.29689876033024415,0.21254311118060787,0.21509702056839036
16,properties,rfdetr-large-coco-torch,500,0.26869130611763253,0.29930923480590266,0.1941262759230148,0.21995741762706758
16,properties,rfdetr-medium-coco-torch,500,0.27148685927688515,0.30574179590535544,0.21152486492330813,0.22203100645487364
16,properties,rfdetr-nano-coco-torch,500,0.26464818359089004,0.3086060357749231,0.264590893352314,0.22026781394361233
16,properties,rfdetr-small-coco-torch,500,0.2715081291040072,0.30793387364080893,0.22258888822009493,0.22431190704114573
16,properties,rtdetr-l-coco-torch,500,0.21044181267262263,0.22524842106896803,0.12714810874741067,0.17116771960051483
16,properties,rtdetr-v2-l-coco-torch,500,0.25366832499166003,0.285967882357673,0.21313910285056548,0.19855457030632276
16,properties,rtdetr-v2-m-coco-torch,500,0.24040050870844445,0.2629111027214094,0.16391022696044166,0.18842180672816172
16,properties,rtdetr-v2-s-coco-torch,500,0.23647862774929865,0.25716003884820005,0.15437692022187133,0.18698683142893577
16,properties,rtdetr-x-coco-torch,500,0.21273038319663112,0.2236075780998047,0.09492199844896576,0.17388588168695618
16,properties,yolo11l-coco-torch,500,0.24748374518036917,0.27021838630999545,0.16119006261037094,0.19694315375608787
16,properties,yolo11m-coco-torch,500,0.2525273465601513,0.2748739822886803,0.1559861720676372,0.20195341302313707
16,properties,yolo11n-coco-torch,500,0.23281231567523256,0.26108833017732364,0.20487212328314253,0.19278780394546602
16,properties,yolo11s-coco-torch,500,0.2454724491050223,0.2696005625609384,0.17098207090819173,0.19717264235862603
16,properties,yolo11x-coco-torch,500,0.2526541299515279,0.27641871881110486,0.16455492332806954,0.19782631221217872
16,properties,yolov10l-coco-torch,500,0.25618873863759745,0.2819354469166293,0.17430299922017178,0.20205640461537897
16,properties,yolov10m-coco-torch,500,0.25730983905383265,0.28430451022608827,0.1808842296265455,0.2065411413780966
16,properties,yolov10n-coco-torch,500,0.23514127180897054,0.26498707453647063,0.2125765494150751,0.19276509615317686
16,properties,yolov10s-coco-torch,500,0.2561302946553785,0.285493788466802,0.19512475389275308,0.2074623001205902
16,properties,yolov10x-coco-torch,500,0.2563998745916156,0.27981194863256825,0.1603406953764217,0.20355913986233382
16,properties,yolov5l-coco-torch,500,0.24456910343575147,0.2623087339165883,0.13068398505395207,0.19393579631532867
16,properties,yolov5m-coco-torch,500,0.24649329982400817,0.2659402635772308,0.1409033058146123,0.19723645051867505
16,properties,yolov5n-coco-torch,500,0.2219973942236092,0.24402248336807966,0.17237029751871558,0.18486156687492308
16,properties,yolov5s-coco-torch,500,0.24916520108208484,0.2705222244890903,0.151662088567604,0.20447819146889173
16,properties,yolov5x-coco-torch,500,0.24789945468191593,0.26865338420319856,0.14853556715906246,0.194915545529194
16,properties,yolov8l-coco-torch,500,0.2507179446551425,0.2714873571320014,0.1471520337120138,0.1970324031580853
16,properties,yolov8m-coco-torch,500,0.24220521953665244,0.264756211066651,0.1630978540927862,0.19161861170470906
16,properties,yolov8n-coco-torch,500,0.22871741430690734,0.2501621682049959,0.16409831541785846,0.1880874836566148
16,properties,yolov8s-coco-torch,500,0.23980265015136726,0.25890222094371046,0.14210051965414883,0.19363811869958597
16,properties,yolov8x-coco-torch,500,0.2507539960632864,0.27200470878105426,0.15014882185712652,0.19672689927303078
16,properties,yolov9c-coco-torch,500,0.250419417378683,0.2709524672190925,0.14581924632942678,0.19828558446092576
16,properties,yolov9e-coco-torch,500,0.2517579019545284,0.27227751466510214,0.14504616267231796,0.19674279307465492
16,random,detection-transformer-torch,1000,0.22907548180884696,0.24902906059484176,0.1538309100956482,0.18522037657495616
16,random,dfine-large-coco-torch,1000,0.23164020412419892,0.24479345190476193,0.10457691873932295,0.19337183178397602
16,random,dfine-medium-coco-torch,1000,0.22775241854793468,0.24240407117141272,0.11723282475736152,0.1888391971375136
16,random,dfine-nano-coco-torch,1000,0.24223366832482904,0.26135353149935625,0.14096221556408428,0.20230171707800906
16,random,dfine-small-coco-torch,1000,0.23522996669881557,0.2503031942093241,0.11681331998244948,0.1951672659843237
